Time,Tair_min,Tair_mean,Tair_max,Tfuel_min,Tfuel_mean,Tfuel_max,rhoAir_min,rhoAir_mean,rhoAir_max,rhoFuel_min,rhoFuel_mean,rhoFuel_max,muAir_min,muAir_mean,muAir_max,muFuel_min,muFuel_mean,muFuel_max,nuAir_min,nuAir_mean,nuAir_max,nuFuel_min,nuFuel_mean,nuFuel_max,kAir_min,kAir_mean,kAir_max,kFuel_min,kFuel_mean,kFuel_max,sumVolume,Nern_min,Nern_max,ibar0,ibar,stack_Voltage,min_curr,max_curr,Energy_Ir,Energy_Fr,Energy_t_min,Energy_t_mean,Energy_t_max,mean_curr,V
1,1000,1000,1000,1000,1000,1000,0.3515907,0.3515907,0.3515907,0.03046576,0.03046576,0.03046576,4.33E-05,4.33E-05,4.33E-05,2.43E-05,2.43E-05,2.43E-05,0.000123161,0.000123161,0.000123161,0.000797513,0.000797513,0.000797513,0.07035484,0.07035484,0.07035484,0.3584587,0.3584587,0.3584587,3.87E-09,1.11386,1.11386,5000,5312.291,0.8031229,5312.291,5312.291,1,3.86E-11,1001.818,1100.005,1104.589,5312.291,0.8031229
2,1001.818,1098.806,1104.586,1030.576,1100.403,1104.585,0.3183704,0.3200734,0.351108,0.02759289,0.02769825,0.02958708,4.34E-05,4.61E-05,4.62E-05,2.49E-05,2.63E-05,2.63E-05,0.000123477,0.000143901,0.000145147,0.000841605,0.000948211,0.000954737,0.07045868,0.07591016,0.0762306,0.3671255,0.3866945,0.3878573,3.87E-09,-0.6943298,1.061856,5000,4790.895,0.8010319,2.22E-16,4939.001,0.1695431,6.85E-11,1001.126,1067.262,1069.893,3074.905,0.8010319
3,1001.126,1066.397,1069.891,1021.804,1067.557,1069.89,0.3213675,0.32799,0.3514224,0.02859619,0.1000735,0.2074111,4.33E-05,4.48E-05,4.52E-05,2.47E-05,3.38E-05,4.03E-05,0.000123311,0.000136737,0.000137543,0.00019409,0.000549271,0.000896374,0.07041916,0.07393121,0.07423506,0.107098,0.2270237,0.3771176,3.87E-09,0.9755474,1.097141,5000,5119.497,0.8022268,4824.379,5703.148,0.2066423,5.75E-11,1001.549,1088.679,1093.381,5289.211,0.8022268
4,1001.549,1087.363,1093.378,1028.471,1089.151,1093.377,0.3140417,0.3216562,0.3512139,0.02793271,0.03566291,0.07081718,4.33E-05,4.54E-05,4.58E-05,2.49E-05,2.91E-05,3.64E-05,0.000123418,0.000141254,0.000142555,0.000514301,0.000838969,0.000934844,0.07044334,0.07510343,0.07553135,0.1933286,0.3277347,0.3838687,3.87E-09,1.03408,1.084599,5000,5364.487,0.8058717,5054.547,5730.981,0.09063599,7.46E-11,1001.851,1097.998,1102.672,5370.765,0.8058717
5,1001.851,1096.47,1102.67,1031.917,1098.521,1102.668,0.3113534,0.3189838,0.3510277,0.02770911,0.03152306,0.03733083,4.34E-05,4.57E-05,4.61E-05,2.49E-05,2.82E-05,3.05E-05,0.000123508,0.000143245,0.000144589,0.000817889,0.00089771,0.00094881,0.07046056,0.07561246,0.07605225,0.3070962,0.3503621,0.3863754,3.87E-09,-0.6965792,1.064493,5000,5633.233,0.812204,2.22E-16,5974.826,0.0710088,6.88E-11,1001.803,1089.63,1093.703,4694.202,0.812204
6,1001.803,1088.221,1093.701,1029.473,1090.102,1093.699,0.3137036,0.3213176,0.3509959,0.0279678,0.06545379,0.2030392,4.34E-05,4.54E-05,4.58E-05,2.49E-05,3.20E-05,4.12E-05,0.000123516,0.000141469,0.000142563,0.000202706,0.000697885,0.000933136,0.07045785,0.07514977,0.07551048,0.1105012,0.2751982,0.3836535,3.87E-09,0.9543022,1.059485,5000,5814.823,0.8203523,5334.816,6344.797,0.08274491,2.26E-11,1002.077,1102.54,1107.699,5888.472,0.8203523
7,1002.077,1100.87,1107.696,1033.447,1103.133,1107.694,0.309677,0.3175503,0.3508883,0.02761536,0.03800286,0.07740273,4.34E-05,4.58E-05,4.62E-05,2.50E-05,3.05E-05,3.77E-05,0.000123576,0.000144177,0.000145705,0.000487001,0.000826168,0.00095561,0.0704735,0.07583917,0.07633063,0.1831894,0.3124259,0.387502,3.87E-09,0.9991676,1.058395,5000,5888.961,0.8292419,5423.654,6483.668,0.04336751,6.38E-11,1002.206,1107.826,1113.12,5977.327,0.8292419
8,1002.206,1106.075,1113.117,1035.269,1108.435,1113.115,0.3080544,0.3160471,0.3508571,0.02747241,0.03443969,0.04695083,4.34E-05,4.59E-05,4.64E-05,2.50E-05,2.97E-05,3.36E-05,0.000123597,0.000145289,0.000146857,0.000716669,0.000871221,0.000964018,0.07048083,0.07612231,0.076623,0.2577666,0.3298728,0.3890919,3.87E-09,0.8590736,1.057413,5000,6005.909,0.8393009,4954.408,6650.291,0.01915657,9.58E-11,1002.212,1108.652,1113.873,5990.113,0.8393009
9,1002.212,1106.888,1113.871,1035.62,1109.256,1113.869,0.3077628,0.3158024,0.3508708,0.02746489,0.04275403,0.1520908,4.34E-05,4.59E-05,4.64E-05,2.50E-05,3.14E-05,4.12E-05,0.000123593,0.00014545,0.000146998,0.000270805,0.000796499,0.000964485,0.07048116,0.07616346,0.07665833,0.1271225,0.3007485,0.3891704,3.87E-09,0.9693494,1.055283,5000,6058.245,0.8498834,5529.903,6793.768,0.01978961,7.64E-11,1002.213,1110.303,1115.754,6133.246,0.8498834
10,1002.213,1108.492,1115.751,1036.177,1110.941,1115.749,0.3072191,0.3153274,0.350877,0.02741281,0.03969567,0.06025624,4.34E-05,4.60E-05,4.64E-05,2.50E-05,3.13E-05,3.62E-05,0.000123591,0.000145787,0.000147423,0.000601245,0.000812338,0.000967938,0.07048126,0.07624826,0.07676607,0.2171341,0.3032601,0.3897627,3.87E-09,0.9810096,1.052884,5000,6024.288,0.8601263,5435.061,6903.305,0.01608746,6.07E-11,1002.203,1111.165,1116.75,6199.095,0.8601263
