Time,Tair_mean,Tfuel_mean,rhoAir_mean,rhoFuel_mean,nuAir_mean,nuFuel_mean,kAir_mean,kFuel_mean,Nern_max,ibar,Energy_t_mean,mean_curr,V
1,1000,1000,0.3515907,0.03046576,0.000123161,0.000797513,0.07035484,0.3584587,1.11386,5312.291,1100.005,5312.291,0.8031229
2,1098.806,1100.403,0.3200734,0.02769825,0.000143901,0.000948211,0.07591016,0.3866945,1.061856,4790.895,1067.262,3074.905,0.8010319
3,1066.397,1067.557,0.32799,0.1000735,0.000136737,0.000549271,0.07393121,0.2270237,1.097141,5119.497,1088.679,5289.211,0.8022268
4,1087.363,1089.151,0.3216562,0.03566291,0.000141254,0.000838969,0.07510343,0.3277347,1.084599,5364.487,1097.998,5370.765,0.8058717
5,1096.47,1098.521,0.3189838,0.03152306,0.000143245,0.00089771,0.07561246,0.3503621,1.064493,5633.233,1089.63,4694.202,0.812204
6,1088.221,1090.102,0.3213176,0.06545379,0.000141469,0.000697885,0.07514977,0.2751982,1.059485,5814.823,1102.54,5888.472,0.8203523
7,1100.87,1103.133,0.3175503,0.03800286,0.000144177,0.000826168,0.07583917,0.3124259,1.058395,5888.961,1107.826,5977.327,0.8292419
8,1106.075,1108.435,0.3160471,0.03443969,0.000145289,0.000871221,0.07612231,0.3298728,1.057413,6005.909,1108.652,5990.113,0.8393009
9,1106.888,1109.256,0.3158024,0.04275403,0.00014545,0.000796499,0.07616346,0.3007485,1.055283,6058.245,1110.303,6133.246,0.8498834
10,1108.492,1110.941,0.3153274,0.03969567,0.000145787,0.000812338,0.07624826,0.3032601,1.052884,6024.288,1111.165,6199.095,0.8601263
11,1109.321,1111.816,0.3150929,0.03610884,0.000145965,0.000854064,0.07629344,0.32008,1.053976,5991.994,1110.077,6141.655,0.8700462
12,1108.241,1110.717,0.31542,0.03729148,0.000145733,0.000838454,0.07623617,0.3135678,1.054456,5935.504,1108.72,6094.543,0.8794013
13,1106.894,1109.358,0.3158212,0.03892645,0.000145444,0.000819694,0.07616396,0.3067796,1.053749,5820.952,1107.442,6050.594,0.8876108
14,1105.626,1108.084,0.3162081,0.03709127,0.000145172,0.000837773,0.07609683,0.3140598,1.054678,5692.643,1105.287,5940.653,0.8945372
15,1103.502,1105.914,0.3168587,0.03668849,0.000144718,0.00084031,0.07598424,0.3159354,1.056123,5567.514,1102.793,5813.222,0.9002124
16,1101.044,1103.407,0.317613,0.03744205,0.000144191,0.000829296,0.07585352,0.312358,1.056817,5427.33,1100.499,5699.499,0.9044856
17,1098.781,1101.104,0.3183139,0.03705341,0.000143708,0.000831215,0.07573346,0.313914,1.057731,5281.976,1098.103,5572.105,0.9073054
18,1096.42,1098.694,0.3190504,0.03653818,0.000143205,0.000834778,0.07560826,0.3163738,1.059142,5149.693,1095.659,5437.746,0.9088023
19,1094.012,1096.235,0.3198037,0.03659596,0.000142692,0.000831639,0.07548049,0.3160072,1.060271,5027.844,1093.466,5317.924,0.9090808
20,1091.853,1094.031,0.3204829,0.03654223,0.000142233,0.000830047,0.07536581,0.3162066,1.061187,4915.884,1091.525,5209.376,0.9082396
21,1089.941,1092.078,0.3210871,0.03627508,0.000141827,0.000831176,0.07526435,0.3175017,1.06218,4821.118,1089.796,5109.698,0.9064508
22,1088.239,1090.339,0.3216272,0.03615079,0.000141467,0.000830874,0.07517402,0.3181078,1.063052,4745.236,1088.368,5026.271,0.9039032
23,1086.834,1088.902,0.3220749,0.03609453,0.000141169,0.00083008,0.07509942,0.3183736,1.063697,4686.624,1087.275,4960.81,0.9007694
24,1085.758,1087.803,0.3224191,0.03598482,0.000140942,0.000830248,0.07504242,0.3189315,1.064213,4645.868,1086.489,4911.248,0.8972281
25,1084.983,1087.012,0.322668,0.03589418,0.000140779,0.000830508,0.07500152,0.3194062,1.0646,4623.028,1086.002,4878.011,0.8934584
26,1084.504,1086.522,0.3228235,0.03584968,0.000140679,0.000830535,0.07497634,0.3196452,1.064814,4616.322,1085.81,4861.135,0.8896216
27,1084.314,1086.328,0.3228868,0.03581419,0.00014064,0.000830756,0.07496662,0.3198437,1.064878,4623.925,1085.88,4858.804,0.8858608
28,1084.383,1086.399,0.3228677,0.0357873,0.000140655,0.000831147,0.0749707,0.3200031,1.06482,4644.151,1086.178,4869.226,0.8823023
29,1084.675,1086.699,0.3227775,0.03578176,0.000140718,0.00083152,0.07498668,0.3200524,1.064645,4674.823,1086.669,4890.796,0.8790506
30,1085.157,1087.192,0.3226268,0.03579134,0.000140821,0.000831913,0.07501277,0.3200239,1.064369,4713.561,1087.315,4921.456,0.8761862
31,1085.792,1087.842,0.3224276,0.03580985,0.000140956,0.00083236,0.07504696,0.3199501,1.064016,4758.105,1088.074,4958.976,0.8737672
32,1086.537,1088.605,0.3221932,0.03583813,0.000141115,0.000832806,0.07508701,0.3198254,1.06361,4806.247,1088.906,5001.275,0.8718297
33,1087.355,1089.442,0.3219359,0.03587469,0.000141289,0.00083323,0.07513086,0.3196573,1.063164,4855.836,1089.773,5046.334,0.8703881
34,1088.207,1090.314,0.3216677,0.03591587,0.00014147,0.000833634,0.07517648,0.3194649,1.062703,4904.924,1090.64,5092.206,0.8694373
35,1089.06,1091.187,0.3213994,0.03595964,0.000141651,0.000834007,0.07522204,0.3192581,1.062242,4951.806,1091.476,5137.144,0.8689553
