T,anode_gas_H2,anode_gas_H2O,cathode_gas_O2,cathode_gas_H2O,tss,sigma,ethick,TPB_length_per_area,ocv,OCV
1073.15,0.97,0.03,1,0.001,50,2,5.00E-05,1.00E+07,2.5118287154356813,1.1375767315163403
1073.151,0.98,0.04,1.01,0.002,50,2,5.00E-05,1.00E+07,2.494379436740682,1.1247262241087161
1073.152,0.99,0.05,1.02,0.003,50,2,5.00E-05,1.00E+07,2.480938236184815,1.1148555099615898
1073.153,1,0.06,1.03,0.004,50,2,5.00E-05,1.00E+07,2.4700324244879672,1.1068680614599498
1073.154,1.01,0.07,1.04,0.005,50,2,5.00E-05,1.00E+07,2.461161387784015,1.100178993867446
1073.155,1.02,0.08,1.05,0.006,50,2,5.00E-05,1.00E+07,2.453007645314947,1.0944392134013115
1073.156,1.03,0.09,1.06,0.007,50,2,5.00E-05,1.00E+07,2.446117612515815,1.0894235730654998
1073.157,1.04,0.1,1.07,0.008,50,2,5.00E-05,1.00E+07,2.4400618194170702,1.0849783661383423
1073.158,1.05,0.11,1.08,0.009,50,2,5.00E-05,1.00E+07,2.4345379547993593,1.0809939790859977
1073.159,1.06,0.12,1.09,0.01,50,2,5.00E-05,1.00E+07,2.4295208181592587,1.0773894942261126
1073.16,1.07,0.13,1.1,0.011,51,3,5.00E-05,1.00E+07,2.424930217323946,1.0741034767598012
1073.161,1.08,0.14,1.11,0.012,51,3,5.00E-05,1.00E+07,2.420703868411066,1.0710881858214545
1073.162,1.09,0.15,1.12,0.013,51,3,5.00E-05,1.00E+07,2.416792166694391,1.0683057875981152
1073.163,1.1,0.16,1.13,0.014,51,3,5.00E-05,1.00E+07,2.4131550159114137,1.065725793127736
1073.164,1.11,0.17,1.14,0.015,51,3,5.00E-05,1.00E+07,2.409759491536076,1.0633232742450704
1073.165,1.12,0.18,1.15,0.016,51,3,5.00E-05,1.00E+07,2.4065782099266837,1.06107759025568
1073.166,1.13,0.19,1.16,0.017,51,3,5.00E-05,1.00E+07,2.40358814350098,1.0589714593530866
1073.167,1.14,0.2,1.17,0.018,51,3,5.00E-05,1.00E+07,2.4007697387894913,1.0569902685084467
1073.168,1.15,0.21,1.18,0.019,51,3,5.00E-05,1.00E+07,2.398106250516332,1.0551215519203547
1073.169,1.16,0.22,1.19,0.02,51,3,5.00E-05,1.00E+07,2.395583228915542,1.0533545909144406
1073.17,1.17,0.23,1.2,0.021,52,4,5.00E-05,1.00E+07,2.3931880745785,1.051680102862191
1073.171,1.18,0.24,1.21,0.022,52,4,5.00E-05,1.00E+07,2.3909099012753376,1.0500899963624832
1073.172,1.19,0.25,1.22,0.023,52,4,5.00E-05,1.00E+07,2.388739015626043,1.048577176439753
1073.173,1.2,0.26,1.23,0.024,52,4,5.00E-05,1.00E+07,2.3866668909798996,1.047135387977791
1073.174,1.21,0.27,1.24,0.025,52,4,5.00E-05,1.00E+07,2.384685956966889,1.0457590887235682
1073.175,1.22,0.28,1.25,0.026,52,4,5.00E-05,1.00E+07,2.382789462489354,1.0444433454035686
1073.176,1.23,0.29,1.26,0.027,52,4,5.00E-05,1.00E+07,2.3809713629297713,1.0431837480826622
1073.177,1.24,0.3,1.27,0.028,52,4,5.00E-05,1.00E+07,2.3792262257928316,1.0419763390521544
1073.178,1.25,0.31,1.28,0.029,52,4,5.00E-05,1.00E+07,2.3775491508557076,1.0408175533866222
1073.179,1.26,0.32,1.29,0.03,52,4,5.00E-05,1.00E+07,2.3759357045517917,1.039704168945265
1073.18,1.27,0.33,1.3,0.031,53,5,5.00E-05,1.00E+07,2.3743818151778697,1.038633264072934
1073.181,1.28,0.34,1.31,0.032,53,5,5.00E-05,1.00E+07,2.3728839126948227,1.0376021816208438
1073.182,1.29,0.35,1.32,0.033,53,5,5.00E-05,1.00E+07,2.3714386057215204,1.0366084981871504
1073.183,1.3,0.36,1.33,0.034,53,5,5.00E-05,1.00E+07,2.370042833433284,1.0356499976945905
1073.184,1.31,0.37,1.34,0.035,53,5,5.00E-05,1.00E+07,2.368693787480369,1.0347246485917707
1073.185,1.32,0.38,1.35,0.036,53,5,5.00E-05,1.00E+07,2.3673888856713328,1.0338305840979423
1073.186,1.33,0.39,1.36,0.037,53,5,5.00E-05,1.00E+07,2.3661257479771454,1.0329660850166602
1073.187,1.34,0.4,1.37,0.038,53,5,5.00E-05,1.00E+07,2.364902176647494,1.0321295647278332
1073.188,1.35,0.41,1.38,0.039,53,5,5.00E-05,1.00E+07,2.363716137687045,1.0313195560352517
1073.189,1.36,0.42,1.39,0.04,53,5,5.00E-05,1.00E+07,2.362565745547945,1.0305346996011422
1073.19,1.37,0.43,1.4,0.041,54,6,5.00E-05,1.00E+07,2.3614492008072476,1.0297737337435229
1073.191,1.38,0.44,1.41,0.042,54,6,5.00E-05,1.00E+07,2.3603649703340652,1.0290354854082862
1073.192,1.39,0.45,1.42,0.043,54,6,5.00E-05,1.00E+07,2.3593114876404684,1.02831886215747
1073.193,1.4,0.46,1.43,0.044,54,6,5.00E-05,1.00E+07,2.3582873355961422,1.0276228450396323
1073.194,1.41,0.47,1.44,0.045,54,6,5.00E-05,1.00E+07,2.357462161891278,1.0269464822284042
1073.195,1.42,0.48,1.45,0.046,54,6,5.00E-05,1.00E+07,2.356455921831219,1.0262888833321184
1073.196,1.43,0.49,1.46,0.047,54,6,5.00E-05,1.00E+07,2.355480368053253,1.0256492142914098
1073.197,1.44,0.5,1.47,0.048,54,6,5.00E-05,1.00E+07,2.3545341294396316,1.0250266927934648
1073.198,1.45,0.51,1.48,0.049,54,6,5.00E-05,1.00E+07,2.3536159144662108,1.0244205841414615
1073.199,1.46,0.52,1.49,0.05,54,6,5.00E-05,2.00E+07,2.260243316797933,1.0238301975261341
1073.2,1.47,0.53,1.5,0.051,55,7,6.00E-05,2.00E+07,2.2593774277395244,1.023254882653432
1073.201,1.48,0.54,1.51,0.052,55,7,6.00E-05,2.00E+07,2.2585361642942745,1.0226940266883144
1073.202,1.49,0.55,1.52,0.053,55,7,6.00E-05,2.00E+07,2.2577184526365524,1.0221470514798223
1073.203,1.5,0.56,1.53,0.054,55,7,6.00E-05,2.00E+07,2.2569233250401046,1.0216134110369857
1073.204,1.51,0.57,1.54,0.055,55,7,6.00E-05,2.00E+07,2.256149865506223,1.0210925892288862
1073.205,1.52,0.58,1.55,0.056,55,7,6.00E-05,2.00E+07,2.2553972070064603,1.0205840976854743
1073.206,1.53,0.59,1.56,0.057,55,7,6.00E-05,2.00E+07,2.25466452761557,1.020087473878485
1073.207,1.54,0.6,1.57,0.058,55,7,6.00E-05,2.00E+07,2.253951048054579,1.0196022793643007
1073.208,1.55,0.61,1.58,0.059,55,7,6.00E-05,2.00E+07,2.2532560289541665,1.0191280981726443
1073.209,1.56,0.62,1.59,0.06,55,7,6.00E-05,2.00E+07,2.252578768117811,1.0186645353268684
1073.21,1.57,0.63,1.6,0.061,56,8,6.00E-05,2.00E+07,2.251860710431542,1.0182112154831815
1073.211,1.58,0.64,1.61,0.062,56,8,6.00E-05,2.00E+07,2.2511991757315135,1.0177677816775383
1073.212,1.59,0.65,1.62,0.063,56,8,6.00E-05,2.00E+07,2.2505514945531013,1.0173338941701875
1073.213,1.6,0.66,1.63,0.064,56,8,6.00E-05,2.00E+07,2.249917209655136,1.0169092293788782
1073.214,1.61,0.67,1.64,0.065,56,8,6.00E-05,2.00E+07,2.2492958781597014,1.0164934788927347
1073.215,1.62,0.68,1.65,0.066,56,8,6.00E-05,2.00E+07,2.2486870774518675,1.0160863485596048
1073.216,1.63,0.69,1.66,0.067,56,8,6.00E-05,2.00E+07,2.2480904178614813,1.0156875576404145
1073.217,1.64,0.7,1.67,0.068,56,8,6.00E-05,2.00E+07,2.247505518890275,1.0152968380247662
1073.218,1.65,0.71,1.68,0.069,56,8,6.00E-05,2.00E+07,2.246932016307423,1.0149139335025148
1073.219,1.66,0.72,1.69,0.07,56,8,6.00E-05,2.00E+07,2.246369561756194,1.014538599086633
1073.22,1.67,0.73,1.7,0.071,57,9,6.00E-05,2.00E+07,2.245817771844271,1.01417060038311
1073.221,1.68,0.74,1.71,0.072,57,9,6.00E-05,2.00E+07,2.2452764263327287,1.0138097130040233
1073.222,1.69,0.75,1.72,0.073,57,9,6.00E-05,2.00E+07,2.244745169083039,1.0134557220202993
1073.223,1.7,0.76,1.73,0.074,57,9,6.00E-05,2.00E+07,2.244223705939391,1.0131084214510009
1073.224,1.71,0.77,1.74,0.075,57,9,6.00E-05,2.00E+07,2.243711754943897,1.0127676137862673
1073.225,1.72,0.78,1.75,0.076,57,9,6.00E-05,2.00E+07,2.243209045002872,1.01243310954128
1073.226,1.73,0.79,1.76,0.077,57,9,6.00E-05,2.00E+07,2.242715315964923,1.0121047268388998
1073.227,1.74,0.8,1.77,0.078,57,9,6.00E-05,2.00E+07,2.242230317877434,1.011782291018776
1073.228,1.75,0.81,1.78,0.079,57,9,6.00E-05,2.00E+07,2.2417538100607284,1.011465634270961
1073.229,1.76,0.82,1.79,0.08,57,9,6.00E-05,2.00E+07,2.241285561065868,1.0111545952922159
1073.23,1.77,0.83,1.8,0.081,58,10,6.00E-05,2.00E+07,2.24082529838224,1.0108490189633588
1073.231,1.78,0.84,1.81,0.082,58,10,6.00E-05,2.00E+07,2.2403729076766257,1.0105487560461062
1073.232,1.79,0.85,1.82,0.083,58,10,6.00E-05,2.00E+07,2.239928132306637,1.0102536628980694
1073.233,1.8,0.86,1.83,0.084,58,10,6.00E-05,2.00E+07,2.239490773466211,1.0099636012045663
1073.234,1.81,0.87,1.84,0.085,58,10,6.00E-05,2.00E+07,2.2390606392196464,1.0096784377261312
1073.235,1.82,0.88,1.85,0.086,58,10,6.00E-05,2.00E+07,2.238637544515136,1.0093980440605903
1073.236,1.83,0.89,1.86,0.087,58,10,6.00E-05,2.00E+07,2.2382213109231395,1.0091222964187605
1073.237,1.84,0.9,1.87,0.088,58,10,6.00E-05,2.00E+07,2.2378117662496844,1.0088510754128088
1073.238,1.85,0.91,1.88,0.089,58,10,6.00E-05,2.00E+07,2.237408743886487,1.008584265856454
1073.239,1.86,0.92,1.89,0.09,58,10,6.00E-05,2.00E+07,2.2370120834707126,1.0083217565762268
1073.24,1.87,0.93,1.9,0.091,59,11,6.00E-05,2.00E+07,2.236621579248883,1.008063440233057
1073.241,1.88,0.94,1.91,0.092,59,11,6.00E-05,2.00E+07,2.2362371820101226,1.0078092131535348
1073.242,1.89,0.95,1.92,0.093,59,11,6.00E-05,2.00E+07,2.235858696398238,1.007558975170206
1073.243,1.9,0.96,1.93,0.094,59,11,6.00E-05,2.00E+07,2.235485981996015,1.0073126294703614
1073.244,1.91,0.97,1.94,0.095,59,11,6.00E-05,2.00E+07,2.235118903242242,1.0070700824527654
1073.245,1.92,0.98,1.95,0.096,59,11,6.00E-05,2.00E+07,2.234757328625806,1.006831243591827
1073.246,1.93,0.99,1.96,0.097,59,11,6.00E-05,2.00E+07,2.2344011312342698,1.0065960253087864
1073.247,1.94,1,1.97,0.098,59,11,6.00E-05,2.00E+07,2.234050187849412,1.0063643428494589
1073.248,1.95,1.01,1.98,0.099,59,11,6.00E-05,2.00E+07,2.23370437905683,1.006136114168163
1073.249,1.96,1.02,1.99,0.1,59,11,6.00E-05,2.00E+07,2.233363589481212,1.0059112598174476
1073.25,1.97,1.03,2,0.101,50,2,5.00E-05,2.00E+07,2.2330281613676006,1.0056897028432974
1073.251,1.98,1.04,2.01,0.102,50,2,5.00E-05,2.00E+07,2.232697077495571,1.005471368685472
1073.252,1.99,1.05,2.02,0.103,50,2,5.00E-05,2.01E+07,2.2323706869662203,1.005256185082701
1073.253,2,1.06,2.03,0.104,50,2,5.00E-05,2.01E+07,2.2320488873562407,1.0050440819824498
1073.254,2.01,1.07,2.04,0.105,50,2,5.00E-05,2.01E+07,2.231731579881709,1.0048349914549888
1073.255,2.02,1.08,2.05,0.106,50,2,5.00E-05,2.01E+07,2.231418668165162,1.0046288476115373
1073.256,2.03,1.09,2.06,0.107,50,2,5.00E-05,2.01E+07,2.2311100589017463,1.0044255865262475
1073.257,2.04,1.1,2.07,0.108,50,2,5.00E-05,2.01E+07,2.23080566132918,1.0042251461618121
1073.258,2.05,1.11,2.08,0.109,50,2,5.00E-05,2.01E+07,2.230505387475816,1.004027466298507
1073.259,2.06,1.12,2.09,0.11,50,2,5.00E-05,2.01E+07,2.2302091518532663,1.0038324884664744
1073.26,2.07,1.13,2.1,0.111,51,3,5.00E-05,2.01E+07,2.2299168205517743,1.0036401558810728
1073.261,2.08,1.14,2.11,0.112,51,3,5.00E-05,2.01E+07,2.22962841417871,1.003450413381138
1073.262,2.09,1.15,2.12,0.113,51,3,5.00E-05,2.02E+07,2.2293438033304467,1.0032632073699845
1073.263,2.1,1.16,2.13,0.114,51,3,5.00E-05,2.02E+07,2.2290629118361385,1.0030784857590251
1073.264,2.11,1.17,2.14,0.115,51,3,5.00E-05,2.02E+07,2.228785665351654,1.0028961979138522
1073.265,2.12,1.18,2.15,0.116,51,3,5.00E-05,2.02E+07,2.228511991617327,1.0027162946026653
1073.266,2.13,1.19,2.16,0.117,51,3,5.00E-05,2.02E+07,2.2282418202477547,1.002538727946926
1073.267,2.14,1.2,2.17,0.118,51,3,5.00E-05,2.02E+07,2.2279750829593254,1.0023634513741144
1073.268,2.15,1.21,2.18,0.119,51,3,5.00E-05,2.02E+07,2.227711712979602,1.0021904195724947
1073.269,2.16,1.22,2.19,0.12,51,3,5.00E-05,2.02E+07,2.2274516456819815,1.00201958844779
1073.27,2.17,1.23,2.2,0.121,52,4,5.00E-05,2.02E+07,2.2271947669008547,1.0018509150816517
1073.271,2.18,1.24,2.21,0.122,52,4,5.00E-05,2.02E+07,2.226941116742262,1.001684357691868
1073.272,2.19,1.25,2.22,0.123,52,4,5.00E-05,2.03E+07,2.226690584498975,1.0015198755941916
1073.273,2.2,1.26,2.23,0.124,52,4,5.00E-05,2.03E+07,2.22644311181263,1.0013574291657374
1073.274,2.21,1.27,2.24,0.125,52,4,5.00E-05,2.03E+07,2.226198641653519,1.001196979809852
1073.275,2.22,1.28,2.25,0.126,52,4,5.00E-05,2.03E+07,2.2259571187322953,1.0010384899224085
