Time,Tair_min,Tair_mean,Tair_max,Tfuel_min,Tfuel_mean,Tfuel_max,rhoAir_min,rhoAir_mean,rhoAir_max,rhoFuel_min,rhoFuel_mean,rhoFuel_max,muAir_min,muAir_mean,muAir_max,muFuel_min,muFuel_mean,muFuel_max,nuAir_min,nuAir_mean,nuAir_max,nuFuel_min,nuFuel_mean,nuFuel_max,kAir_min,kAir_mean,kAir_max,kFuel_min,kFuel_mean,kFuel_max,sumVolume,Nern_min,Nern_max,ibar0,ibar,V,stack_Voltage,min_curr,mean_curr,max_curr,Energy_Ir,Energy_Fr,Energy_t_min,Energy_t_mean,Energy_t_max
1, 1000, 1000, 1000, 1000, 1000, 1000, 0.3515907, 0.3515907, 0.3515907, 0.03046576, 0.03046576, 0.03046576, 4.330221e-05, 4.330221e-05, 4.330221e-05, 2.429684e-05, 2.429684e-05, 2.429684e-05, 0.0001231609, 0.0001231609, 0.0001231609, 0.0007975131, 0.0007975131, 0.0007975131, 0.07035484, 0.07035484, 0.07035484, 0.3584587, 0.3584587, 0.3584587, 3.84e-09, 1.11386, 1.11386, 5000, 5000, 0.8, 0.8, 5000, 5000, 5000, 1, 4.909149e-11, 1065.634, 1162.734, 1167.331
2, 1065.634, 1162.299, 1167.329, 1127.215, 1162.908, 1167.327, 0.2343724, 0.3024921, 0.370514, 0.02136403, 0.02619329, 0.03105822, 4.514203e-05, 4.776359e-05, 4.789775e-05, 2.678029e-05, 2.746385e-05, 2.754814e-05, 0.0001291957, 0.0001580163, 0.0002031309, 0.0008864779, 0.001049296, 0.001279168, 0.07406554, 0.07938832, 0.0796615, 0.3941291, 0.4039584, 0.4051707, 3.84e-09, 1.080404, 1.085068, 5000, 4297.392, 0.7929739, 0.7929739, 3334.691, 4297.392, 5268.008, 0.09241052, 5.850663e-11, 1063.219, 1148.499, 1152.791
3, 1063.219, 1148.13, 1152.789, 1117.678, 1148.655, 1152.788, 0.2111622, 0.3058626, 0.3984423, 0.02018985, 0.02678317, 0.03390381, 4.507482e-05, 4.735792e-05, 4.749182e-05, 2.659899e-05, 2.730682e-05, 2.753208e-05, 0.00011906, 0.0001550437, 0.0002235446, 0.0008116233, 0.00102104, 0.001348002, 0.07393018, 0.07860327, 0.07885852, 0.3914485, 0.3980344, 0.4005365, 3.84e-09, 1.079098, 1.08424, 5000, 4341.321, 0.7863871, 0.7863871, 3002.955, 4341.321, 5663.173, 0.0336878, 7.513894e-11, 1062.33, 1145.403, 1149.619
4, 1062.33, 1145.027, 1149.617, 1115.177, 1145.562, 1149.615, 0.2211294, 0.3064447, 0.3884561, 0.02123085, 0.02709878, 0.03375647, 4.504973e-05, 4.724851e-05, 4.739051e-05, 2.655674e-05, 2.737791e-05, 2.769463e-05, 0.0001217691, 0.0001543514, 0.0002129284, 0.0008204243, 0.001011487, 0.001283922, 0.07388016, 0.07841971, 0.0786755, 0.3873475, 0.3949039, 0.3991118, 3.84e-09, 1.076069, 1.08223, 5000, 4347.266, 0.7798598, 0.7798598, 3144.699, 4347.266, 5521.001, 0.01672175, 4.841004e-11, 1062.877, 1145.587, 1149.794
5, 1062.877, 1145.201, 1149.792, 1115.389, 1145.751, 1149.79, 0.2471993, 0.3062707, 0.3620816, 0.02332077, 0.02730382, 0.03218693, 4.50644e-05, 4.722827e-05, 4.737757e-05, 2.657097e-05, 2.751459e-05, 2.79186e-05, 0.0001305068, 0.0001542892, 0.0001903756, 0.0008673892, 0.001008323, 0.001171813, 0.07391048, 0.07841547, 0.07867471, 0.3843147, 0.3926342, 0.3983023, 3.84e-09, 1.072699, 1.080134, 5000, 4343.944, 0.7732992, 0.7732992, 3515.442, 4343.944, 5146.24, 0.01178055, 6.180123e-11, 1063.839, 1146.825, 1151.037
6, 1063.839, 1146.427, 1151.036, 1116.479, 1146.993, 1151.034, 0.2754044, 0.3058915, 0.3337931, 0.02536925, 0.02746136, 0.03034439, 4.509061e-05, 4.723757e-05, 4.739252e-05, 2.660621e-05, 2.767121e-05, 2.814849e-05, 0.0001364056, 0.0001544575, 0.0001709076, 0.0009276339, 0.001007906, 0.001077147, 0.07396414, 0.07846933, 0.0787322, 0.3820076, 0.3906652, 0.3975154, 3.84e-09, 1.069353, 1.0782, 5000, 4338.585, 0.7666851, 0.7666851, 3916.548, 4338.585, 4744.289, 0.01105019, 7.682766e-11, 1064.887, 1148.424, 1152.651
7, 1064.887, 1148.016, 1152.649, 1117.855, 1148.597, 1152.647, 0.2939668, 0.3054458, 0.3302175, 0.02667959, 0.02760106, 0.02889587, 4.511915e-05, 4.725786e-05, 4.741697e-05, 2.66505e-05, 2.783356e-05, 2.837263e-05, 0.0001366347, 0.0001547317, 0.0001603744, 0.0009749978, 0.001008611, 0.001029967, 0.0740225, 0.07854365, 0.0788098, 0.3801751, 0.3888229, 0.3971071, 3.84e-09, 1.066122, 1.076429, 5000, 4332.571, 0.7600108, 0.7600108, 4184.849, 4332.571, 4504.291, 0.009614723, 4.968416e-11, 1065.906, 1150.153, 1154.403
8, 1065.906, 1149.737, 1154.402, 1119.317, 1150.331, 1154.4, 0.2964184, 0.3049629, 0.3298914, 0.02677122, 0.0277379, 0.02929913, 4.514689e-05, 4.728292e-05, 4.74452e-05, 2.6699e-05, 2.799683e-05, 2.858819e-05, 0.0001368538, 0.0001550585, 0.0001592854, 0.0009650776, 0.001009551, 0.001030337, 0.07407926, 0.0786258, 0.07889493, 0.3782072, 0.3870493, 0.3970801, 3.84e-09, 1.063021, 1.074778, 5000, 4325.924, 0.75327, 0.75327, 4215.39, 4325.924, 4443.674, 0.008403818, 4.926436e-11, 1066.889, 1151.925, 1156.208
9, 1066.889, 1151.501, 1156.207, 1120.793, 1152.107, 1156.205, 0.2909529, 0.3044502, 0.3295862, 0.02677363, 0.02787838, 0.02966754, 4.517364e-05, 4.731038e-05, 4.747521e-05, 2.674927e-05, 2.815912e-05, 2.879513e-05, 0.0001370617, 0.0001554122, 0.0001622602, 0.0009569873, 0.001010317, 0.001041163, 0.074134, 0.07871099, 0.07898294, 0.3758364, 0.385324, 0.3970379, 3.84e-09, 1.06004, 1.073207, 5000, 4318.584, 0.7464559, 0.7464559, 4137.664, 4318.584, 4505.168, 0.007501267, 9.792956e-11, 1067.877, 1153.706, 1158.03
10, 1067.877, 1153.276, 1158.029, 1122.261, 1153.891, 1158.027, 0.2900646, 0.3039144, 0.3292833, 0.02677211, 0.02802374, 0.02981806, 4.520054e-05, 4.733932e-05, 4.750625e-05, 2.679989e-05, 2.831958e-05, 2.899428e-05, 0.0001372695, 0.0001557816, 0.0001627625, 0.0009582978, 0.001010816, 0.001039826, 0.07418904, 0.07879734, 0.07907203, 0.3735891, 0.3836404, 0.397084, 3.84e-09, 1.057166, 1.071698, 5000, 4310.651, 0.7395624, 0.7395624, 4125.033, 4310.651, 4501.885, 0.006898366, 8.587191e-11, 1068.848, 1155.485, 1159.856
