Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  7.99     11.76    11.76                             Foam::List<double>::List(Foam::List<double> const&) (List.C:122 @ 5bee0)
  7.97     23.49    11.73                             Foam::Field<double>::operator=(Foam::tmp<Foam::Field<double> > const&) (List.C:393 @ 5f7b0)
  6.45     32.98     9.49                             Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, double>::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<double>::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (surfaceInterpolationScheme.C:283 @ ab005)
  4.95     40.26     7.28                             Foam::tmp<Foam::Field<Foam::typeOfSum<double, double>::type> > Foam::operator-<double, double>(Foam::UList<double> const&, Foam::UList<double> const&) (FieldFunctions.C:771 @ 5ec22)
  2.67     44.19     3.94                             Foam::Field<double>::operator=(Foam::Field<double> const&) (List.C:393 @ 589b0)
  2.32     47.61     3.42                             Foam::Field<Foam::Vector<double> >::component(unsigned char) const (FieldFunctions.C:48 @ 5e7a7)
  2.32     51.02     3.41                             void Foam::fvc::surfaceIntegrate<double>(Foam::Field<double>&, Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> const&) (fvcSurfaceIntegrate.C:58 @ 67ce8)
  2.25     54.33     3.31                             Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::geometricOneField::value_type, double>::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::surfaceInterpolationScheme<double>::dotInterpolate<Foam::geometricOneField>(Foam::geometricOneField const&, Foam::GeometricField<double, Foam::fvPatchField, Foam::volMesh> const&, Foam::tmp<Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> > const&) (surfaceInterpolationScheme.C:283 @ aaffc)
  1.84     57.04     2.71                             Foam::tmp<Foam::Field<double> > Foam::fvPatch::patchInternalField<double>(Foam::UList<double> const&) const (fvPatchTemplates.C:43 @ 68b54)
  1.76     59.63     2.59                             Foam::fvMatrix<Foam::Vector<double> >::H() const (VectorSpaceI.H:163 @ af808)
  1.64     62.04     2.41                             Foam::tmp<Foam::Field<double> > Foam::operator-<double>(Foam::UList<double> const&) (FieldFunctions.C:622 @ 5eff9)
  1.59     64.38     2.34                             Foam::tmp<Foam::Field<Foam::Vector<double> > > Foam::fvPatch::patchInternalField<Foam::Vector<double> >(Foam::UList<Foam::Vector<double> > const&) const (fvPatchTemplates.C:43 @ 7a6fe)
  1.56     66.68     2.30                             Foam::Field<Foam::Vector<double> >::operator-=(Foam::UList<Foam::Vector<double> > const&) (ops.H:72 @ 67150)
  1.45     68.81     2.13      720     2.96     2.96  Foam::Field<double>::operator+=(Foam::tmp<Foam::Field<double> > const&) (Field.C:848 @ 5fe80)
  1.45     70.94     2.13                             Foam::tmp<Foam::GeometricField<Foam::innerProduct<Foam::Vector<double>, Foam::Vector<double> >::type, Foam::fvsPatchField, Foam::surfaceMesh> > Foam::operator&<Foam::Vector<double>, Foam::Vector<double>, Foam::fvsPatchField, Foam::surfaceMesh>(Foam::tmp<Foam::GeometricField<Foam::Vector<double>, Foam::fvsPatchField, Foam::surfaceMesh> > const&, Foam::GeometricField<Foam::Vector<double>, Foam::fvsPatchField, Foam::surfaceMesh> const&) (VectorI.H:147 @ abc54)
  1.39     72.99     2.05                             void Foam::fvc::surfaceIntegrate<double>(Foam::Field<double>&, Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> const&) (Field.C:851 @ 6801f)
  1.23     74.80     1.81                             Foam::List<double>::List(int, double const&) (List.C:70 @ 5bd6c)
  1.17     76.52     1.72                             Foam::Field<Foam::Vector<double> >::operator+=(Foam::UList<Foam::Vector<double> > const&) (ops.H:71 @ 67b60)
  1.15     78.21     1.70                             void Foam::fvc::surfaceIntegrate<double>(Foam::Field<double>&, Foam::GeometricField<double, Foam::fvsPatchField, Foam::surfaceMesh> const&) (fvcSurfaceIntegrate.C:59 @ 67cfd)
  1.10     79.83     1.62                             Foam::List<Foam::Vector<double> >::List(Foam::List<Foam::Vector<double> > const&) (List.C:122 @ 5a158)
  0.95     81.23     1.40                             Foam::tmp<Foam::Field<double> > Foam::operator*<double>(double const&, Foam::UList<double> const&) (FieldFunctions.C:628 @ 5ee22)
  0.94     82.62     1.39                             Foam::tmp<Foam::Field<Foam::typeOfSum<double, double>::type> > Foam::operator+<double, double>(Foam::tmp<Foam::Field<double> > const&, Foam::tmp<Foam::Field<double> > const&) (FieldFunctions.C:770 @ 6ab50)
  0.90     83.94     1.32                             double Foam::gMax<double>(Foam::UList<double> const&, int) (FieldFunctions.C:316 @ 65560)
  0.87     85.22     1.28                             Foam::DimensionedField<double, Foam::surfaceMesh>::operator+=(Foam::DimensionedField<double, Foam::surfaceMesh> const&) (Field.C:848 @ 690ec)
  0.84     86.45     1.23                             Foam::fvMatrix<Foam::Vector<double> >::solveSegregated(Foam::dictionary const&) (VectorSpaceI.H:163 @ 8b1b8)
